"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.318568250E0;1.592687988E-1;2.038760376E0;9.730814667E0;9.943372894E0
1.328625250E0;3.462300110E-1;2.064207458E0;9.794881439E0;1.001601368E1
1.338682250E0;4.709207153E-1;2.083517303E0;9.764794006E0;9.995699708E0
1.348739250E0;5.084925842E-1;2.091899872E0;9.683213654E0;9.919638927E0
1.358796250E0;3.891906738E-1;2.061812439E0;9.574988708E0;9.802191014E0
1.368853250E0;2.224374390E-1;2.057321777E0;9.457183685E0;9.680928394E0
1.378910250E0;1.188528442E-1;2.044149170E0;9.373956757E0;9.594984997E0
1.388967250E0;5.388793945E-2;2.046693878E0;9.371861115E0;9.592895313E0
1.399024250E0;5.628295898E-2;2.061363373E0;9.446406097E0;9.668866267E0
1.409081250E0;1.179547119E-1;2.030677185E0;9.549841003E0;9.764068124E0
1.419138250E0;2.152523804E-1;2.040257263E0;9.669142914E0;9.884397198E0
1.429195250E0;3.222798157E-1;2.075434113E0;9.743538208E0;9.967338052E0
1.439252250E0;4.328997803E-1;2.069895630E0;9.720037079E0;9.947411269E0
1.449309250E0;4.200265503E-1;2.076781311E0;9.588460693E0;9.819777054E0
1.459366250E0;2.996768188E-1;2.081271973E0;9.452094269E0;9.683159881E0
1.469423250E0;2.082170105E-1;2.053130493E0;9.394763489E0;9.618746288E0
1.479480250E0;1.715432739E-1;2.068698120E0;9.404493256E0;9.630858342E0
1.489537250E0;1.442999268E-1;2.042203217E0;9.481882324E0;9.700387047E0
1.499594250E0;1.902543640E-1;1.977837067E0;9.629924469E0;9.832775878E0
1.509651250E0;2.719844055E-1;1.963466949E0;9.701026611E0;9.901469350E0
1.519708250E0;3.363505554E-1;1.978884888E0;9.744136963E0;9.948734706E0
1.529765250E0;3.592529297E-1;1.982776794E0;9.713600464E0;9.920408281E0
1.539822250E0;3.141966248E-1;2.016456757E0;9.649384003E0;9.862830679E0
1.549879250E0;2.179467773E-1;2.024539948E0;9.608968048E0;9.822348484E0
1.559937250E0;1.669029236E-1;2.042053528E0;9.620643768E0;9.836392922E0
1.569994250E0;1.658551025E-1;2.064656525E0;9.659862213E0;9.879435837E0
1.580051250E0;1.757345581E-1;2.075434113E0;9.705068207E0;9.926059555E0
1.590108250E0;2.859054565E-1;2.112107849E0;9.690099335E0;9.921732037E0
1.600165250E0;3.890409851E-1;2.100282440E0;9.592352600E0;9.827297066E0
1.610222250E0;3.492237854E-1;2.079326019E0;9.525441742E0;9.756002989E0
1.620279250E0;3.092568970E-1;2.081421661E0;9.432934113E0;9.664791872E0
1.630336250E0;2.504292297E-1;2.090702362E0;9.403894501E0;9.636751680E0
1.640393250E0;2.044747925E-1;2.045346680E0;9.523795166E0;9.743096394E0
1.650450250E0;2.058219910E-1;2.003882904E0;9.691745911E0;9.898881158E0
1.660507250E0;2.577639771E-1;1.970352631E0;9.833501129E0;1.003227174E1
1.670564250E0;2.871029663E-1;1.921853485E0;9.859397278E0;1.004906282E1
1.680621250E0;2.863545227E-1;1.951342163E0;9.869725800E0;1.006485084E1
1.690678250E0;3.760180664E-1;2.008672943E0;9.790241089E0;1.000124878E1
1.700735250E0;4.430786133E-1;2.048789520E0;9.623188477E0;9.848838186E0
1.710792250E0;4.553530884E-1;2.111808472E0;9.408085785E0;9.652935284E0
1.720849250E0;4.363426208E-1;2.100282440E0;9.322164459E0;9.565789639E0
1.730906250E0;3.414399719E-1;2.070494385E0;9.304052124E0;9.537762535E0
1.740963250E0;2.469863892E-1;2.028731232E0;9.378297729E0;9.598396793E0
1.751020250E0;1.770817566E-1;1.953737183E0;9.596693573E0;9.795150558E0
1.761077250E0;1.826202393E-1;1.891466675E0;9.816436615E0;9.998671119E0
1.771134250E0;1.884580994E-1;1.919608154E0;9.951156464E0;1.013636655E1
1.781191250E0;2.064207458E-1;1.926942902E0;9.980944519E0;1.016734833E1
1.791248250E0;1.871109009E-1;1.890418854E0;9.891280975E0;1.007204712E1
1.801306250E0;2.210902405E-1;1.910028076E0;9.720336456E0;9.908684523E0
1.811363250E0;3.258723450E-1;1.953288116E0;9.579629059E0;9.782168479E0
1.821420250E0;3.869453430E-1;2.003583527E0;9.498946838E0;9.715660795E0
1.831477250E0;3.613485718E-1;2.048190765E0;9.455836487E0;9.681864586E0
1.841534250E0;3.167413330E-1;2.011816406E0;9.418713684E0;9.636384062E0
1.851591250E0;2.782713318E-1;1.970951385E0;9.439969482E0;9.647544150E0
1.861648250E0;2.067201233E-1;1.976639557E0;9.538464661E0;9.743312847E0
1.871705250E0;1.853146362E-1;1.935175781E0;9.598789215E0;9.793671488E0
